x;y;z;
-0.058; 0.869; 0.210;
-0.058; 0.869; 0.210;
-0.820; 0.922; 0.932;
 0.000; 0.989; 0.452;
 0.000; 0.989; 0.452;
-0.732; 0.905;-0.156;
-0.747; 0.966;-0.332;
-0.747; 0.966;-0.332;
 0.166; 0.997;-0.133;
 0.166; 0.997;-0.133;
-0.480; 0.872; 0.516;
 0.576; 0.983; 0.000;
 0.576; 0.983; 0.000;
-0.902; 0.930; 0.760;
-0.090; 0.814;-0.575;
-0.090; 0.814;-0.575;
 0.143; 0.812;-0.549;
 0.468; 0.777;-0.042;
 0.468; 0.777;-0.042;
-0.313; 0.778;-0.068;
-0.255; 0.980;-0.573;
-0.255; 0.980;-0.573;
-0.538; 0.782; 0.005;
-0.137; 0.820; 0.881;
-0.137; 0.820; 0.881;
 0.037; 0.982;-0.593;
 0.037; 0.982;-0.593;
-0.019; 0.882;-0.137;
-0.413; 0.991;-0.068;
-0.413; 0.991;-0.068;
-0.562; 0.892; 0.348;
-0.562; 0.892; 0.348;
-0.034; 0.900; 0.404;
-0.109; 0.917; 0.644;
-0.109; 0.917; 0.644;
 0.646; 0.866; 0.496;
 0.919; 0.712; 0.198;
 0.919; 0.712; 0.198;
-0.871; 0.730; 0.347;
-0.871; 0.730; 0.347;
 0.560; 0.870; 0.382;
-0.134; 0.986;-0.506;
-0.134; 0.986;-0.506;
-0.763; 0.730; 0.175;
-0.763; 0.730; 0.175;
 0.984; 0.508; 0.299;
 0.045; 0.199;-0.468;
 0.045; 0.199;-0.468;
 0.938; 0.801;-0.746;
 0.846; 0.954; 0.440;
 0.846; 0.954; 0.440;
 0.308; 0.812; 0.417;
 0.464; 0.886;-0.332;
 0.464; 0.886;-0.332;
-0.541; 0.879;-0.118;
-0.516; 0.760; 0.111;
-0.516; 0.760; 0.111;
 0.163; 0.907;-0.345;
-0.294; 0.990; 0.327;
-0.294; 0.990; 0.327;
-0.461; 0.691;-0.102;
-0.461; 0.691;-0.102;
 0.152; 0.230; 0.203;
 0.783; 0.953; 0.555;
 0.783; 0.953; 0.555;
-0.480; 0.370;-0.267;
 0.359; 0.021; 0.936;
 0.359; 0.021; 0.936;
 0.588; 0.523;-0.611;
 0.588; 0.523;-0.611;
 0.620; 0.745; 0.153;
 0.539; 0.983;-0.215;
 0.539; 0.983;-0.215;
 0.290; 0.845;-0.186;
 0.994; 0.948;-0.186;
 0.994; 0.948;-0.186;
-0.952; 0.393; 0.744;
 0.700; 0.743;-0.470;
 0.700; 0.743;-0.470;
-0.167; 0.365; 0.498;
-0.328; 0.933;-0.103;
-0.328; 0.933;-0.103;
-0.880; 0.153; 0.297;
-0.880; 0.153; 0.297;
-0.908; 0.442; 0.543;
-0.622; 0.841; 0.660;
-0.622; 0.841; 0.660;
-0.198; 0.189;-0.938;
 0.858; 0.788; 0.854;
-0.150; 0.822; 0.479;
-0.150; 0.822; 0.479;
-0.921; 0.875; 0.272;
-0.245; 0.711; 0.033;
-0.245; 0.711; 0.033;
 0.335; 0.992; 0.167;
 0.335; 0.992; 0.167;
 0.526; 0.970;-0.564;
 0.963; 0.927;-0.712;
 0.963; 0.927;-0.712;
-0.777; 0.956; 0.518;
 0.156; 0.998;-0.078;
 0.156; 0.998;-0.078;
 0.963; 0.947;-0.344;
 0.963; 0.947;-0.344;
 0.757; 0.965; 0.341;
-0.418; 0.969; 0.662;
-0.418; 0.969; 0.662;
-0.695; 0.531; 0.945;
 0.060; 0.937;-0.353;
 0.060; 0.937;-0.353;
 0.039; 0.986; 0.519;
-0.673; 0.660; 0.494;
-0.673; 0.660; 0.494;
-0.098; 0.921; 0.605;
-0.036; 0.767; 0.142;
-0.036; 0.767; 0.142;
-0.686; 0.274; 0.337;
-0.686; 0.274; 0.337;
-0.282; 0.864; 0.617;
-0.738; 0.942; 0.781;
-0.738; 0.942; 0.781;
-0.451; 0.774; 0.536;
-0.964; 0.889; 0.125;
-0.964; 0.889; 0.125;
 0.035; 0.972; 0.740;
 0.035; 0.972; 0.740;
-0.077; 0.956;-0.929;
-0.076; 0.765; 0.574;
-0.076; 0.765; 0.574;
-0.669; 0.974;-0.234;
-0.669; 0.974;-0.234;
-0.607; 0.859; 0.553;
 0.992; 0.794;-0.304;
 0.992; 0.794;-0.304;
 0.897; 0.218; 0.561;
 0.956; 0.948;-0.344;
 0.956; 0.948;-0.344;
 0.139; 0.755; 0.877;
 0.004; 0.717; 0.137;
 0.004; 0.717; 0.137;
-0.710; 0.838;-0.534;
-0.111; 0.838;-0.788;
-0.111; 0.838;-0.788;
 0.461; 0.892; 0.037;
 0.461; 0.892; 0.037;
-0.696; 0.974;-0.183;
 0.520; 0.882;-0.168;
 0.520; 0.882;-0.168;
 0.841; 0.949; 0.551;
-0.522; 0.647; 0.756;
-0.522; 0.647; 0.756;
 0.691; 0.439; 0.911;
 0.691; 0.439; 0.911;
-0.193; 0.833; 0.805;
-0.865; 0.890; 0.198;
-0.865; 0.890; 0.198;
 0.042; 0.775; 0.106;
 0.811; 0.557; 0.864;
 0.811; 0.557; 0.864;
 0.769; 0.838; 0.258;
 0.769; 0.838; 0.258;
 0.998; 0.317; 0.852;
-0.211; 0.997; 0.090;
-0.211; 0.997; 0.090;
 0.927; 0.087; 0.415;
 0.927; 0.087; 0.415;
-0.109; 0.388; 0.480;
-0.405; 0.188; 0.991;
-0.405; 0.188; 0.991;
-0.437; 0.823; 0.197;
-0.869; 0.814; 0.431;
-0.869; 0.814; 0.431;
-0.218; 0.937;-0.093;
-0.624; 0.911; 0.174;
-0.624; 0.911; 0.174;
-0.243; 0.942; 0.042;
-0.204; 0.996; 0.136;
-0.204; 0.996; 0.136;
 0.625; 0.980; 0.000;
-0.330; 0.751; 0.189;
-0.330; 0.751; 0.189;
 0.841; 0.962; 0.210;
-0.074; 0.974;-0.704;
-0.074; 0.974;-0.704;
-0.566; 0.977;-0.353;
-0.929; 0.687; 0.559;
-0.929; 0.687; 0.559;
-0.099; 0.819;-0.890;
-0.043; 0.586; 0.845;
-0.043; 0.586; 0.845;
 0.517; 0.979;-0.365;
-0.466; 0.968; 0.636;
-0.466; 0.968; 0.636;
-0.658; 0.658; 0.989;
-0.658; 0.658; 0.989;
-0.420; 0.854; 0.648;
 0.310; 0.723; 0.344;
 0.310; 0.723; 0.344;
-0.440; 0.989; 0.110;
 0.107; 0.873; 0.579;
 0.107; 0.873; 0.579;
 0.181; 0.915; 0.536;
 0.181; 0.915; 0.536;
 0.105; 0.579;-0.686;
 0.419; 0.892;-0.344;
 0.419; 0.892;-0.344;
 0.865; 0.949;-0.511;
 0.865; 0.949;-0.511;
 0.370; 0.987;-0.342;
-0.574; 0.760;-0.504;
-0.574; 0.760;-0.504;
 0.492; 0.780; 0.453;
-0.148; 0.356;-0.596;
-0.148; 0.356;-0.596;
 0.491; 0.987; 0.000;
