x;y;z;
 0.729;-0.142;-0.993;
 0.672;-0.409;-0.078;
 0.672;-0.409;-0.078;
 0.608;-0.361;-0.357;
 0.678;-0.288;-0.557;
 0.678;-0.288;-0.557;
 0.397;-0.410;-0.386;
 0.904;-0.451;-0.655;
 0.904;-0.451;-0.655;
 0.962;-0.461;-0.573;
 0.777;-0.458;-0.716;
 0.777;-0.458;-0.716;
 0.577;-0.435;-0.914;
 0.199;-0.516;-0.829;
 0.199;-0.516;-0.829;
 0.865;-0.436;-0.192;
 0.511;-0.561;-0.883;
 0.511;-0.561;-0.883;
 0.339;-0.557;-0.922;
-0.150;-0.541;-0.988;
-0.150;-0.541;-0.988;
-0.548;-0.592;-0.770;
-0.878;-0.600;-0.657;
-0.878;-0.600;-0.657;
-0.410;-0.640;-0.254;
-0.557;-0.720;-0.755;
-0.557;-0.720;-0.755;
-0.945;-0.643;-0.792;
-0.196;-0.632;-0.545;
-0.196;-0.632;-0.545;
-0.457;-0.653;-0.878;
-0.612;-0.599;-0.010;
-0.612;-0.599;-0.010;
-0.806;-0.578;-0.622;
-0.661;-0.638;-0.121;
-0.661;-0.638;-0.121;
-0.352;-0.718; 0.110;
-0.380;-0.709; 0.237;
-0.380;-0.709; 0.237;
-0.371;-0.708; 0.352;
-0.346;-0.705; 0.541;
-0.346;-0.705; 0.541;
-0.369;-0.709; 0.325;
-0.710;-0.620; 0.304;
-0.659;-0.639; 0.008;
-0.659;-0.639; 0.008;
-0.693;-0.629;-0.098;
-0.867;-0.572;-0.372;
-0.867;-0.572;-0.372;
-0.539;-0.663;-0.415;
-0.745;-0.586;-0.748;
-0.745;-0.586;-0.748;
-0.397;-0.662;-0.943;
-0.440;-0.631;-0.129;
-0.440;-0.631;-0.129;
-0.296;-0.629;-0.416;
-0.864;-0.699;-0.559;
-0.864;-0.699;-0.559;
-0.000;-0.641;-0.745;
-0.000;-0.641;-0.745;
-0.566;-0.703;-0.840;
-0.524;-0.716;-0.807;
-0.595;-0.619;-0.217;
-0.595;-0.619;-0.217;
-0.076;-0.680;-0.264;
-0.076;-0.680;-0.264;
-0.042;-0.691;-0.232;
-0.728;-0.584;-0.758;
-0.323;-0.660;-0.561;
-0.323;-0.660;-0.561;
-0.251;-0.660;-0.572;
 0.069;-0.623;-0.716;
 0.069;-0.623;-0.716;
 0.386;-0.684;-0.463;
 0.386;-0.684;-0.463;
 0.284;-0.587;-0.826;
 0.811;-0.537;-0.893;
 0.811;-0.537;-0.893;
 0.043;-0.587;-0.644;
 0.148;-0.562;-0.690;
 0.148;-0.562;-0.690;
 0.481;-0.563;-0.518;
 0.757;-0.520;-0.505;
 0.757;-0.520;-0.505;
 0.839;-0.527;-0.418;
 0.189;-0.524;-0.118;
 0.189;-0.524;-0.118;
 0.628;-0.125;-0.131;
 0.705;-0.193;-0.858;
 0.705;-0.193;-0.858;
